RiskID,RiskTitle,RiskDescription,ApplicableSectors,SourceReference
NRC-LI-002,Employee collusion,Employees colluding with criminals (Likelihood: High Impact: High Overall: 9),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-GV-001,High-risk jurisdictions,Customer from high-risk jurisdictions using casino facilities to launder money (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-CV-001,Sanctioned customers,Customers who appear on financial sanctions list laundering funds which are subject to asset freeze (Likelihood: Low Impact: High Overall: 3),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-CV-002,Foreign PEPs,Foreign politically exposed persons (PEPs) using casinos to clean criminal funds (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-CV-003,Domestic PEPs,Domestic PEPs using casinos to clean criminal funds (Likelihood: Low Impact: Medium Overall: 2),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-CV-004,False or stolen ID,False or fraudulently obtained or stolen ID docs used to bypass controls (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-CV-005,Smurfing,Customers breaking up large amounts of cash into small transactions to minimise suspicion and evade CDD requirements ('smurfing') (Likelihood: High Impact: High Overall: 9),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-CV-006,Third party agents,Use of third parties or agents to obscure the source or ownership of money gambled by customers and their identities (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-MP-001,Cash transactions,Cash transactions providing anonymity and difficulty in verification (Likelihood: High Impact: High Overall: 9),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-MP-002,Casinos as MSBs,Casinos acting as Money Service Businesses (MSBs) including foreign exchange and money transmission (Likelihood: High Impact: High Overall: 9),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-MP-003,Cryptoasset payments,Cryptoasset payments providing anonymity (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-MP-004,Cashless payments,Cashless payments creating new vulnerabilities (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-MP-005,Inter-customer transfers,Transfer of funds between casino customers (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-MP-006,Scottish notes,Scottish notes used for large exchanges (Likelihood: Low Impact: High Overall: 3),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-PV-001,BYOD systems,Bring your own devices (BYODs) (Likelihood: Low Impact: High Overall: 3),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-PV-002,Electronic roulette with TITO,Electronic roulette - when used with ticket in ticket out and automatic ticket redemption machines (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-PV-003,Gaming machines,Gaming machines (all) (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-PV-004,Peer to peer gaming,Peer to peer gaming (poker) business to customer (B2C) (Likelihood: High Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
OCB-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-OC-002,Lack of customer interaction,Lack of effective customer interaction resulting in a failure to prevent and/or detect Money Laundering or Terrorist financing (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-OC-003,Inadequate KYC checks,Inadequate or lack of 'know your customer' (KYC) checks resulting in criminals laundering criminal proceeds (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-OC-004,Third party business relationships,Third party business relationships and business investors (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-LI-001,Organized crime acquisition,Betting operations being acquired by organised crime to launder criminal proceeds (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-LI-002,Employee collusion,Betting employees acting in collusion with organised criminals to launder criminal funds (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-CV-001,Unverified customers,Unverified customers laundering proceeds of crime through betting (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-CV-002,Multiple premises access,Accessibility to multiple premises and operators to fragment transactions (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-CV-003,False or stolen ID,False or stolen identification documentation used to bypass controls to launder criminal funds (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-CV-004,Organised criminal gangs,Organised criminal gangs (OCGs) (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-PV-001,Gaming machines,Gaming machines used to launder criminal funds (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-PV-002,SSBTs and TITO,Self service betting terminals and ticket-in-ticket-out (TITO) machines used to launder criminal funds (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-PV-003,BYOD,Bring your own device (BYOD) (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-MP-001,Cash transactions,Cash transactions providing anonymity (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-MP-002,Cashless transactions,Cashless transactions (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-MP-003,Dyed notes,Dyed notes from theft or robbery (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-MP-004,Lack of closed loop,Lack of 'closed loop' system allowing cash-in/cashless-out schemes (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-MP-005,Multiple payment methods,Multiple methods of payment (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
OCB-MP-006,Scottish notes,Scottish notes (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - Off-Course Betting
ONC-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-OC-002,Lack of customer interaction,Lack of effective customer interaction resulting in a failure to prevent and/or detect ML or TF (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-OC-003,Inadequate KYC checks,Inadequate or lack of KYC checks resulting in criminals laundering criminal proceeds (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-OC-004,Unlicensed gambling activities,On-course bookmakers providing unlicensed gambling activities (e.g. accepting bets over the phone without required ancillary betting licence) (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-LI-001,Organized crime acquisition,Betting operations being acquired by organised crime to launder criminal proceeds (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-LI-002,Employee collusion,Betting employees acting in collusion with organised criminals to launder criminal funds (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-CV-001,Unverified customers,Unverified customers laundering proceeds of crime through betting (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-CV-002,Organised criminal gangs,Organised criminal gangs (OCGs) (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-PV-001,BYOD,Bring your own device (BYOD) (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-MP-001,Cash transactions,Cash transactions (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-MP-002,Dyed notes,Dyed notes from theft or robbery (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
ONC-MP-003,Scottish notes,Scottish notes (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - On-Course Betting
